ID	both_ok_Perc	Forw_ok_perc	Reverse_ok_perc	dropped_perc
A11	97.23	1.22	1.25	0.3
A12	95.13	3.07	1.25	0.55
A14	87.99	9.84	1.52	0.64
A21	95.41	2.6	1.59	0.4
A22	94.39	3.68	1.37	0.55
A24	92.05	6.09	1.33	0.52
A31	95.74	1.95	1.86	0.46
A32	95.72	1.98	1.84	0.47
A34	91.72	6.4	1.37	0.5
A41	90.88	6.97	1.63	0.52
A42	93.88	3.81	1.79	0.52
A44	95.46	2.34	1.75	0.44
B11	95.47	2.61	1.58	0.35
B12	95.46	2.41	1.68	0.45
B14	90.11	7.73	1.48	0.68
B21	95.57	2.33	1.69	0.41
B22	94.17	3.71	1.57	0.54
B24	94.76	3.2	1.46	0.59
B31	94.66	2.96	1.87	0.5
B32	95.81	1.94	1.82	0.43
B34	92.47	5.76	1.36	0.41
B41	95.04	2.74	1.83	0.39
B42	93.38	4.32	1.79	0.5
B44	93.92	3.9	1.68	0.5
C11	96.11	1.84	1.67	0.38
C12	94.96	2.92	1.75	0.38
C14	89.62	8.34	1.52	0.52
C21	95.47	2.37	1.66	0.5
C22	95.83	1.97	1.72	0.47
C24	95.53	2.46	1.53	0.47
C31	94.8	2.92	1.77	0.51
C32	95.54	2.7	1.31	0.46
C34	95.5	2.33	1.7	0.47
C41	95.57	2.51	1.53	0.39
C42	97.26	1.32	1.11	0.3
C44	93.02	5.04	1.44	0.5
