groups	timing	direction	DEGs	total_per_group
Va	IEV	Up	135	668
Va	IEV	Down	56	668
Va	ER	Up	3	668
Va	ER	Down	4	668
Va	TSR	Up	7	668
Va	TSR	Down	198	668
Va	LR	Up	140	668
Va	LR	Down	121	668
Va	Sch	Up	4	668
Va	Sch	Down	0	668
Vb	IEV	Up	77	586
Vb	IEV	Down	27	586
Vb	ER	Up	2	586
Vb	ER	Down	0	586
Vb	TSR	Up	168	586
Vb	TSR	Down	306	586
Vb	LR	Up	4	586
Vb	LR	Down	2	586
Vb	Sch	Up	0	586
Vb	Sch	Down	0	586
Vc	IEV	Up	52	1084
Vc	IEV	Down	146	1084
Vc	ER	Up	5	1084
Vc	ER	Down	16	1084
Vc	TSR	Up	113	1084
Vc	TSR	Down	676	1084
Vc	LR	Up	27	1084
Vc	LR	Down	35	1084
Vc	Sch	Up	4	1084
Vc	Sch	Down	10	1084
I	IEV	Up	1	97
I	IEV	Down	2	97
I	ER	Up	1	97
I	ER	Down	2	97
I	TSR	Up	10	97
I	TSR	Down	79	97
I	LR	Up	1	97
I	LR	Down	1	97
I	Sch	Up	0	97
I	Sch	Down	0	97
II	IEV	Up	7	141
II	IEV	Down	3	141
II	ER	Up	1	141
II	ER	Down	0	141
II	TSR	Up	7	141
II	TSR	Down	120	141
II	LR	Up	2	141
II	LR	Down	1	141
II	Sch	Up	0	141
II	Sch	Down	0	141
III	IEV	Up	2	227
III	IEV	Down	4	227
III	ER	Up	0	227
III	ER	Down	0	227
III	TSR	Up	91	227
III	TSR	Down	129	227
III	LR	Up	1	227
III	LR	Down	0	227
III	Sch	Up	0	227
III	Sch	Down	0	227
IV	IEV	Up	7	324
IV	IEV	Down	15	324
IV	ER	Up	5	324
IV	ER	Down	4	324
IV	TSR	Up	12	324
IV	TSR	Down	207	324
IV	LR	Up	30	324
IV	LR	Down	24	324
IV	Sch	Up	11	324
IV	Sch	Down	9	324
